Drift Threshold (pct. of mean depth),drift_area,not_drift_area,drift_volume,not_drift_volume,mean_drift_depth,mean_not_drift_depth,Drift Threshold (pct. of mean depth),Drift Area pct.,Not Drift Area pct.,Drift Volume pct.,Not Drift Volume pct.,Drift Volume-Area Difference (pct.),Drift Volume-Area Difference Slope,Year,Study Area,Inflection Threshold,Mean_Depth [m],SD Depth [m],CV,Total Area,Total Volume
80.0,22071727.0,6463831.0,17203880.0,3003576.0,0.7794532775878906,0.475882887840271,80.0,77.34815278537745,22.651847214622542,85.13634033712127,14.86370914958773,7.7881875517438175,1.1079762317789346,2015,HV,120.00000000000004,0.7081497,0.22471122,0.31732166,28535558.0,20207446.0
85.00000000000001,20248586.0,8286972.0,16136717.0,4070759.0,0.7969305515289307,0.5004174113273621,85.00000000000001,70.95913806907159,29.040861930928425,79.85530185259434,20.14484660753269,8.896163783522752,1.153196378326907,2015,HV,120.00000000000004,0.7081497,0.22471122,0.31732166,28535558.0,20207446.0
90.00000000000001,17490797.0,11044761.0,14425959.0,5781520.0,0.8247742652893066,0.5307791233062744,90.00000000000001,61.29474321125944,38.70525678874056,71.38932351965707,28.610839786482668,10.094580308397632,0.8866165725848916,2015,HV,120.00000000000004,0.7081497,0.22471122,0.31732166,28535558.0,20207446.0
95.00000000000001,15303634.0,13231924.0,12993276.0,7214260.0,0.8490320444107056,0.551562488079071,95.00000000000001,53.63004991877152,46.36995008122848,64.29944684746405,35.70099853291702,10.669396928692535,0.4178911157351486,2015,HV,120.00000000000004,0.7081497,0.22471122,0.31732166,28535558.0,20207446.0
100.00000000000003,12419188.0,16116370.0,11003391.0,9204100.0,0.8859992027282715,0.5765489339828491,100.00000000000003,43.521798312126926,56.478201687873074,54.452160851994854,45.54806183819568,10.930362539867929,0.04753948055435586,2015,HV,120.00000000000004,0.7081497,0.22471122,0.31732166,28535558.0,20207446.0
105.00000000000003,10406230.0,18129328.0,9544394.0,10663071.0,0.9171807765960693,0.5931479930877686,105.00000000000003,36.46758896391653,63.53241103608347,47.23206485371778,52.768029171029326,10.764475889801247,-0.3830660703920685,2015,HV,120.00000000000004,0.7081497,0.22471122,0.31732166,28535558.0,20207446.0
110.00000000000003,8040071.0,20495487.0,7747505.0,12459992.0,0.9636116027832031,0.6124879717826843,110.00000000000003,28.175622148338576,71.82437785166142,38.33985254742237,61.660399834793566,10.164230399083792,-0.6172518995959528,2015,HV,120.00000000000004,0.7081497,0.22471122,0.31732166,28535558.0,20207446.0
115.00000000000003,6556662.0,21978896.0,6568862.0,13638595.0,1.0018607378005981,0.6248596906661987,115.00000000000003,22.977164140263177,77.02283585973683,32.50713623087252,67.49291820450739,9.529972090609341,-0.7909261139273163,2015,HV,120.00000000000004,0.7081497,0.22471122,0.31732166,28535558.0,20207446.0
120.00000000000004,4972982.0,23562576.0,5255895.0,14951575.0,1.0568901300430298,0.6386741995811462,120.00000000000004,17.42731647301237,82.57268352698762,26.00969464424153,73.9904241238601,8.58237817122916,-0.938994440072392,2015,HV,120.00000000000004,0.7081497,0.22471122,0.31732166,28535558.0,20207446.0
125.00000000000004,3803396.0,24732162.0,4239644.0,15967837.0,1.1146997213363647,0.6496294140815735,125.00000000000004,13.32861968215235,86.67138031784765,20.980602892616908,79.01957031086462,7.651983210464557,-0.7798522454466985,2015,HV,120.00000000000004,0.7081497,0.22471122,0.31732166,28535558.0,20207446.0
130.00000000000006,3155196.0,25380362.0,3653454.0,16554040.0,1.157916784286499,0.6561741828918457,130.00000000000006,11.057067816932124,88.94293218306788,18.079741497267886,81.92049603893535,7.022673680335762,-0.6752867250849333,2015,HV,120.00000000000004,0.7081497,0.22471122,0.31732166,28535558.0,20207446.0
135.00000000000006,2523283.0,26012275.0,3060216.0,17147268.0,1.2127916812896729,0.6630799770355225,135.00000000000006,8.84259210911523,91.15740789088477,15.144001869409921,84.85618618008431,6.301409760294691,-0.5865699283130299,2015,HV,120.00000000000004,0.7081497,0.22471122,0.31732166,28535558.0,20207446.0
140.00000000000006,2180249.0,26355309.0,2725984.0,17481470.0,1.2503087520599365,0.6671536564826965,140.00000000000006,7.6404638731788594,92.35953612682114,13.489997696888562,86.51004189247864,5.849533823709702,-0.4749219982551791,2015,HV,120.00000000000004,0.7081497,0.22471122,0.31732166,28535558.0,20207446.0
145.00000000000006,1845613.0,26689945.0,2388385.0,17819110.0,1.2940878868103027,0.6714639663696289,145.00000000000006,6.467765585659828,93.53223441434018,11.81933134944416,88.18091113542998,5.351565763784333,-0.40566781972690213,2015,HV,120.00000000000004,0.7081497,0.22471122,0.31732166,28535558.0,20207446.0
150.00000000000006,1657309.0,26878249.0,2191714.0,18015768.0,1.322453498840332,0.6740913391113281,150.00000000000006,5.807873110453982,94.19212688954602,10.84607129470988,89.15410685744256,5.038198184255898,-0.3386269882397479,2015,HV,120.00000000000004,0.7081497,0.22471122,0.31732166,28535558.0,20207446.0
155.00000000000006,1459135.0,27076423.0,1977845.0,18229618.0,1.3554913997650146,0.6770724058151245,155.00000000000006,5.11339221051854,94.88660778948146,9.787703997823376,90.21238012958193,4.674311787304837,-0.3081633864986397,2015,HV,120.00000000000004,0.7081497,0.22471122,0.31732166,28535558.0,20207446.0
160.00000000000009,1333664.0,27201894.0,1837981.0,18369504.0,1.3781442642211914,0.6791031956672668,160.00000000000009,4.673691679693104,95.3263083203069,9.095563090951723,90.9046299072134,4.421871411258619,-0.2898539996193463,2015,HV,120.00000000000004,0.7081497,0.22471122,0.31732166,28535558.0,20207446.0
